position_title,company_name,company_category,recruit_provider,annual_salary,career,education,working_condition,location,deadline_date,registration_date
간병/돌봄 플랫폼 고객상담·서비스 운영 매니저 채용,주식회사 돌봄의신,[],정보제공처 고용24,"연봉 3,000 만원 이상",경력3년,학력무관,주5일 주 40시간 근로 09:00 ~ 18:00,서울특별시 강남구 테헤란로38길,2026-08-28,2026-08-07
간호간병통합병동 간호조무사(3교대) 모집,우리들병원,[],정보제공처 고용24,"연봉 2,700 만원 ~ 3,200 만원",경력무관,학력무관,주5일 주 40시간 근로,서울특별시 강남구 학동로,2026-09-05,2026-08-07
실내건축 인테리어 시공 및 공무 경력직 채용,건축사사무소따뜻한동행(주),[],정보제공처 사람인,"연봉 4,800 만원 ~ 4,800 만원",경력5년,고졸,주5일,서울 강남구,2026-09-06,2026-08-07
[유웰비뇨의학과 강남점] 원무팀 채용,유웰비뇨의학과의원,[],정보제공처 사람인,"연봉 3,300 만원 ~ 3,300 만원",경력무관,학력무관,,서울 강남구,2026-09-06,2026-08-07
[프티스]마케팅 운영지원 모집,(주)프티스,[],정보제공처 사람인,"연봉 3,000 만원 ~ 3,000 만원",경력무관,고졸,,서울 강남구,2026-09-06,2026-08-07
"반도체 기계장비외,약품, 구매, 납품, 품질 엔지니어 모집",(주)지엔지니어링,[],정보제공처 사람인,"연봉 3,200 만원 ~ 3,200 만원",신입,대졸(2~3년),주5일,서울 강남구,2026-09-06,2026-08-07
[흑백요리사2 김호윤쉐프] 고슬솥 하남 홀&주방 정직원/파트타이머 ...,㈜코어소사이어티,[],정보제공처 잡코리아,"연봉 3,480 만원 ~ 4,800 만원",신입/경력,학력무관,기타,경기 하남시 등,2026-09-06,2026-08-07
레지던스 프론트 데스크 신입/경력 모집,(주)에이치서비스,[],정보제공처 사람인,"연봉 3,600 만원 ~ 3,600 만원",경력무관,대졸(2~3년),주5일,서울 강남구,2026-09-06,2026-08-07
주거 리테일 복합개발 상품설계 및 사업담당,피플투피플,[],정보제공처 인크루트,"연봉 7,000 만원 ~ 8,000 만원",경력12년,대졸(4년),주5일,서울 강남구,2026-09-06,2026-08-07
식품류 (유제품) 수입사무,씨티인터내셔날,[],정보제공처 인크루트,"연봉 3,000 만원 ~ 4,800 만원",경력1년,대졸(4년),주5일,서울 강남구,2026-09-06,2026-08-07
1군건설 홍보담당,피플투피플,[],정보제공처 인크루트,"연봉 4,700 만원 ~ 5,100 만원",경력2년,대졸(4년),주5일,서울 강남구,2026-09-06,2026-08-07
1군건설 본사 공동주택 CS담당,피플투피플,[],정보제공처 인크루트,"연봉 6,000 만원 ~ 9,000 만원",경력8년,대졸(4년),주5일,서울 강남구,2026-09-06,2026-08-07
전기 설계 및 프로젝트 관리,㈜거동기업,[],정보제공처 잡코리아,"연봉 3,400 만원 ~ 3,600 만원",신입/경력,대졸(4년),주5일,경기 성남시 분당구 등,2026-09-06,2026-08-07
언론홍보 & 기업PR 정규직 채용(신입·경력),엑세스커뮤니케이션앤컨설팅(주),[],정보제공처 사람인,"연봉 3,600 만원 ~ 3,600 만원",경력무관,대졸(4년),주5일,서울 강남구,2026-08-18,2026-08-07
㈜삼우세라믹스 마루 바닥재 영업 경력직 모집합니다,㈜삼우세라믹스,[],정보제공처 잡코리아,"연봉 4,800 만원 ~ 4,800 만원",경력,고졸,주5일,서울 강남구 등,2026-09-06,2026-08-07
카드하비코리아 콘텐츠 마케터 신입 채용,카드하비코리아(주),[],정보제공처 사람인,"연봉 3,000 만원 ~ 3,000 만원",경력무관,학력무관,,서울 강남구,2026-09-06,2026-08-07
"[호펙스원] 린넨스토리, 호텔 B2B영업 담당 채용(스마트 린넨 구...",㈜호펙스원,[],정보제공처 잡코리아,"연봉 3,000 만원 ~ 4,500 만원",경력무관,학력무관,주5일,서울 강남구,2026-09-06,2026-08-07
오션그룹 오션키즈 서울지점 원장님 모집합니다.,오션서퍼광교점,[],정보제공처 사람인,"연봉 6,000 만원 ~ 6,000 만원",경력1년,학력무관,,서울 강남구 등,2026-09-06,2026-08-07
해외무역업무,(주)씨켐인터내셔날,[],정보제공처 고용24,"연봉 3,400 만원 이상",경력무관,학력무관,주5일 주 40시간 근로,서울특별시 강남구 광평로,2026-08-31,2026-08-06
